ID,Shell Scripting - bash,Shell Scripting - csh/tsh/zsh,Unix System Tools - find/sort/grep/cut/paste/join/cmp/biff/uniq/tr,Regular Expressions - python,"Regular Expressions - awk, sed",Perl Programming,"Python - base language, modules, objects","Python - os, sys, file, dict, list, Counter","Python - csv, pickle, hdf5","Python - numpy, scipy, scikit-learn","Python - networking, requests","Java - language, package, class, interface, generic",Java - Concurrency,Java - Networking,Java - JNI,Java - JDBC,Version Control - svn,Version Control - git,IDE - Eclipse,"IDE - Jetbrains PyCharm, Java",IDE - NetBeans,Build Environments - Make/AR/GDB,"Client Side - HTML5, CSS, JQuery, Ajax, Javascript, Bootstrap, AngularJS","Server Side - Servlets, Node.js, PHP","Latex, Gnuplot, Pyplot, Inkscape, Beamer",Lex and Yacc,Erlang,MPI
0,Essential,Nice to have,Essential,Essential,Dont care one way or another,Dont care one way or another,Essential,Essential,Essential,Nice to have,Dont care one way or another,Essential,Nice to have,Dont care one way or another,Dont care one way or another,Dont care one way or another,Utterly useless,Essential,Essential,Dont care one way or another,Dont care one way or another,Essential,Essential,Essential,Essential,Dont care one way or another,Dont care one way or another,Nice to have
1,Essential,Dont care one way or another,Essential,Nice to have,Essential,Dont care one way or another,Essential,Essential,Dont care one way or another,Nice to have,Nice to have,Nice to have,Dont care one way or another,Dont care one way or another,Dont care one way or another,Dont care one way or another,Dont care one way or another,Nice to have,Nice to have,Dont care one way or another,Nice to have,Essential,Essential,Essential,Essential,Nice to have,Dont care one way or another,Dont care one way or another
2,Essential,Utterly useless,Essential,Essential,Essential,Dont care one way or another,Essential,Nice to have,Dont care one way or another,Nice to have,Essential,Dont care one way or another,Dont care one way or another,Dont care one way or another,Dont care one way or another,Dont care one way or another,Essential,Essential,Dont care one way or another,Dont care one way or another,Dont care one way or another,Nice to have,Essential,Nice to have,Essential,Dont care one way or another,Dont care one way or another,Dont care one way or another
3,Essential,Essential,Essential,Essential,Essential,Utterly useless,Essential,Essential,Essential,Nice to have,Essential,Dont care one way or another,Dont care one way or another,Dont care one way or another,Dont care one way or another,Dont care one way or another,Dont care one way or another,Essential,Essential,Essential,Dont care one way or another,Essential,Essential,Nice to have,Essential,Nice to have,Dont care one way or another,Dont care one way or another
4,Essential,Nice to have,Essential,Essential,Nice to have,Nice to have,Essential,Essential,Essential,Essential,Nice to have,Dont care one way or another,Dont care one way or another,Dont care one way or another,Dont care one way or another,Dont care one way or another,Nice to have,Essential,Dont care one way or another,Dont care one way or another,Dont care one way or another,Essential,Nice to have,Nice to have,Essential,Nice to have,Dont care one way or another,Dont care one way or another
5,Essential,Nice to have,Essential,Essential,Essential,Nice to have,Essential,Essential,Essential,Essential,Nice to have,Essential,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Essential,Essential,Dont care one way or another,Essential,Essential,Nice to have,Nice to have,Essential,Nice to have,Nice to have,Nice to have
6,Essential,Dont care one way or another,Essential,Essential,Essential,Nice to have,Essential,Nice to have,Nice to have,Nice to have,Essential,Essential,Essential,Essential,Nice to have,Essential,Essential,Essential,Essential,Nice to have,Nice to have,Essential,Essential,Essential,Essential,Nice to have,Nice to have,Nice to have
7,Essential,Nice to have,Essential,Essential,Nice to have,Nice to have,Essential,Essential,Essential,Nice to have,Essential,Essential,Essential,Nice to have,Nice to have,Nice to have,Nice to have,Essential,Nice to have,Nice to have,Nice to have,Essential,Essential,Nice to have,Nice to have,Utterly useless,Nice to have,Nice to have
8,Essential,Dont care one way or another,Essential,Essential,Dont care one way or another,Dont care one way or another,Essential,Essential,Dont care one way or another,Dont care one way or another,Dont care one way or another,Dont care one way or another,Essential,Essential,Dont care one way or another,Dont care one way or another,Dont care one way or another,Essential,Essential,Dont care one way or another,Dont care one way or another,Essential,Dont care one way or another,Dont care one way or another,Dont care one way or another,Dont care one way or another,Dont care one way or another,Dont care one way or another
9,Essential,Utterly useless,Nice to have,Nice to have,Dont care one way or another,Utterly useless,Nice to have,Nice to have,Dont care one way or another,Nice to have,Dont care one way or another,Nice to have,Dont care one way or another,Dont care one way or another,Dont care one way or another,Dont care one way or another,Utterly useless,Essential,Dont care one way or another,Dont care one way or another,Dont care one way or another,Essential,Nice to have,Nice to have,Nice to have,Dont care one way or another,Utterly useless,Utterly useless
10,Essential,Nice to have,Essential,Essential,Essential,Nice to have,Essential,Essential,Essential,Essential,Nice to have,Essential,Nice to have,Nice to have,Nice to have,Essential,Essential,Nice to have,Essential,Essential,Nice to have,Essential,Nice to have,Nice to have,Essential,Nice to have,Dont care one way or another,Dont care one way or another
11,Essential,Nice to have,Essential,Essential,Dont care one way or another,Utterly useless,Essential,Nice to have,Nice to have,Nice to have,Nice to have,Essential,Nice to have,Dont care one way or another,Dont care one way or another,Nice to have,Dont care one way or another,Essential,Dont care one way or another,Dont care one way or another,Nice to have,Dont care one way or another,Nice to have,Nice to have,Essential,Dont care one way or another,Dont care one way or another,Nice to have
12,Essential,Dont care one way or another,Essential,Essential,Essential,Nice to have,Nice to have,Nice to have,Dont care one way or another,Nice to have,Essential,Dont care one way or another,Nice to have,Nice to have,Dont care one way or another,Dont care one way or another,Essential,Essential,Nice to have,Dont care one way or another,Dont care one way or another,Essential,Nice to have,Nice to have,Essential,Nice to have,Nice to have,Dont care one way or another